2025_07_29_07_12_06_L_002.csv,ブーム:,L,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
1,10,5,59,873,0.02,2.282,15,3.1,2.1,0,1,24,1460,-34519.495,33247.485,49.806,3864.549,-3.927,1.313,43.738,86.8138,-1.1351,3.1862,,1,1,3866,,,,,,
2,10,6,0,73,0.037,4.244,14.8,3.3,1.9,0,1,11.2,1460,-34519.495,33247.485,49.806,3864.549,-3.927,1.313,43.738,86.8138,-1.1351,3.1862,,1,1,3866,,,,,,
3,10,6,0,274,0.053,5.004,14.7,3.3,1.8,0,1,9.1,1460,-34519.279,33247.677,49.802,3864.26,-3.943,1.308,43.6611,86.9164,-1.212,3.0836,,1,1,3866,,,,,,
4,10,6,0,473,0.07,5.08,14.4,3.3,1.9,0,1,9.2,1460,-34519.279,33247.677,49.802,3864.26,-3.943,1.308,43.6611,86.9164,-1.212,3.0836,,1,1,3866,,,,,,
5,10,6,0,674,0.088,5.08,14.4,3.9,2.4,0,1,11.2,1460,-34519.279,33247.677,49.802,3864.26,-3.943,1.308,43.6611,86.9164,-1.212,3.0836,,1,1,3866,,,,,,
6,10,6,0,874,0.104,5.065,14.4,3.7,2.4,0,1,11.3,1460,-34519.279,33247.677,49.802,3864.26,-3.943,1.308,43.6611,86.9164,-1.212,3.0836,,1,1,3866,,,,,,
7,10,6,1,73,0.121,4.989,14.5,3.7,2.3,0,1,11.1,1460,-34519.279,33247.677,49.802,3864.26,-3.943,1.308,43.6611,86.9164,-1.212,3.0836,,1,1,3866,,,,,,
8,10,6,1,273,0.132,4.457,14.5,3.6,2.1,0,1,11.3,1460,-34519.231,33247.735,49.792,3864.185,-3.936,1.298,43.6647,87.0549,-1.2084,2.9451,,1,1,3866,,,,,,
9,10,6,1,473,0.145,3.863,14.7,3.7,2.1,0,1,13.4,1460,-34519.231,33247.735,49.792,3864.185,-3.936,1.298,43.6647,87.0549,-1.2084,2.9451,,1,1,3866,,,,,,
