2025_07_29_07_12_06_L_001.csv,ブーム:,L,穿孔No.:,1,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
1,8,50,49,153,0.029,2.069,14.5,2.6,7.5,0,1,88,1446,-34522.107,33250.262,54.145,3864.44,-0.116,5.651,44.0547,77.7333,-0.8183,12.2667,,1,1,3866,,,,,,
2,8,50,49,833,0.179,5.278,14.8,3.2,3,0,1,14.3,1446,-34522.107,33250.262,54.145,3864.44,-0.116,5.651,44.0547,77.7333,-0.8183,12.2667,,1,1,3866,,,,,,
3,8,50,50,33,0.203,5.004,14.5,3.2,3.6,0,1,17.2,1446,-34522.107,33250.262,54.145,3864.44,-0.116,5.651,44.0547,77.7333,-0.8183,12.2667,,1,1,3866,,,,,,
4,8,50,50,233,0.227,5.035,14.6,3.1,3.2,0,1,15.7,1446,-34522.107,33250.262,54.145,3864.44,-0.116,5.651,44.0547,77.7333,-0.8183,12.2667,,1,1,3866,,,,,,
5,8,50,50,433,0.25,5.065,14.7,3.2,3.5,0,1,16.9,1446,-34522.107,33250.262,54.145,3864.44,-0.116,5.651,44.0547,77.7333,-0.8183,12.2667,,1,1,3866,,,,,,
6,8,50,50,633,0.277,4.852,14.7,3.1,3.6,0,1,18.5,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
7,8,50,50,833,0.302,5.111,14.7,3.1,3.1,0,1,15,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
8,8,50,51,33,0.325,5.065,15,3.3,3.2,0,1,16.3,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
9,8,50,51,233,0.349,5.08,14.7,3.2,3.4,0,1,16.7,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
10,8,50,51,433,0.373,5.095,14,3,3.6,0,1,15.8,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
11,8,50,51,633,0.399,5.141,13.9,3.2,3.2,0,1,13.9,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
12,8,50,51,833,0.423,5.126,13.9,3.1,3.2,0,1,13.9,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
13,8,50,52,33,0.446,5.095,14.3,3.2,3.4,0,1,15.7,1446,-34521.817,33250.469,54.169,3864.088,-0.174,5.676,44.077,78.1807,-0.7961,11.8193,,1,1,3866,,,,,,
14,8,50,52,233,0.47,5.08,14.2,3.2,3.7,0,1,16.8,1446,-34521.729,33250.521,54.195,3863.99,-0.199,5.701,43.4527,78.1908,-1.4203,11.8092,,1,1,3866,,,,,,
15,8,50,52,434,0.501,5.065,14.2,3.1,3.7,0,1,17,1446,-34521.729,33250.521,54.195,3863.99,-0.199,5.701,43.4527,78.1908,-1.4203,11.8092,,1,1,3866,,,,,,
16,8,50,52,633,0.523,5.08,14.7,3.1,3.9,0,1,18.8,1446,-34521.729,33250.521,54.195,3863.99,-0.199,5.701,43.4527,78.1908,-1.4203,11.8092,,1,1,3866,,,,,,
