2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
1,8,3,39,533,0.02,1.506,13.9,6.2,4.8,0,1,69.8,8371,-34530.902,33247.049,49.002,3872.939,3.812,0.508,226.6796,89.5009,-178.1935,0.4991,,1,1,3866,,,,,,
2,8,3,39,733,0.026,1.582,13.8,5.9,5,0,1,68.8,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
3,8,3,39,933,0.031,1.597,13.8,5.3,5.3,0,1,72.1,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
4,8,3,40,133,0.037,1.597,13.9,5.6,5.5,0,1,75.1,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
5,8,3,40,333,0.042,1.673,13.9,6.1,5.1,0,1,67.2,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
6,8,3,40,533,0.048,1.764,13.8,5.9,4.9,0,1,60.9,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
7,8,3,40,734,0.054,1.734,13.8,5.5,5.1,0,1,64.5,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
8,8,3,40,933,0.059,1.627,13.9,5.6,5.5,0,1,74.1,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
9,8,3,41,133,0.063,1.46,13.9,6.2,4.6,0,1,70,8371,-34530.924,33247.024,49.014,3872.973,3.81,0.52,226.6789,89.3967,-178.1941,0.6033,,1,1,3866,,,,,,
